Breed,Sterilized,Dewormed,Vaccinated,Health Status,Fur Length,Maturity Size,Gender,Type,Adopted,Age Bins,Videos,Photos,AdoptionSpeed,Primary Color,Secondary Color,Tertiary Color
Labrador Retriever,Yes,Yes,Yes,Healthy,Small,Large,Mixed,Dog,Yes,"[60,255]",0,7,3,Golden,Cream,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,5,2,Brown,,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Male,Cat,Yes,"[0,2]",0,4,1,Black,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,3,1,Black,White,
Mixed Breed,No,No,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[6,12]",0,3,1,Black,,
Tabby,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Mixed,Cat,Yes,"[3,6]",0,5,3,Yellow,Gray,White
Miniature Pinscher,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,Yes,"[24,60]",0,2,3,Black,Brown,
Mixed Breed,No,No,No,Healthy,Small,Small,Female,Dog,Yes,"[0,2]",0,2,1,Brown,,
Domestic Short Hair,No,Not Sure,Not Sure,Healthy,Small,Medium,Female,Cat,Yes,"[6,12]",0,3,1,Black,White,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[3,6]",0,2,1,Black,White,
Domestic Short Hair,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Mixed,Cat,No,"[6,12]",0,5,4,Golden,,
Siamese,Not Sure,Yes,Yes,Healthy,Small,Medium,Male,Cat,No,"[6,12]",0,0,4,Golden,,
Dachshund,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[6,12]",0,3,2,Black,,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Male,Cat,No,"[0,2]",0,3,4,Golden,White,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,7,2,Yellow,White,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,Yes,"[3,6]",0,3,3,Brown,Golden,
Burmese,No,No,No,Healthy,Medium,Medium,Female,Cat,Yes,"[0,2]",0,4,1,Gray,White,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[3,6]",0,5,3,Yellow,White,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,7,3,Black,Brown,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,4,4,Brown,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[6,12]",1,9,4,Black,,
Schnauzer,No,Yes,Yes,Healthy,Medium,Small,Female,Dog,Yes,"[24,60]",0,4,3,Gray,White,
Tabby,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[3,6]",0,3,3,Golden,White,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Female,Dog,Yes,"[24,60]",0,5,2,Black,Brown,White
Tabby,No,Not Sure,Not Sure,Healthy,Small,Medium,Mixed,Cat,Yes,"[12,24]",0,1,1,Black,Golden,White
Abyssinian,Yes,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[12,24]",0,2,2,Brown,Golden,
Domestic Short Hair,No,Yes,No,Healthy,Small,Small,Female,Cat,Yes,"[3,6]",0,5,3,Black,Gray,White
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",2,3,1,Brown,Cream,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,4,1,Black,Gray,White
Domestic Long Hair,No,No,No,Healthy,Medium,Medium,Female,Cat,Yes,"[0,2]",0,5,1,Black,Golden,White
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,4,1,Black,,
Terrier,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,8,3,Black,Cream,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[24,60]",0,7,0,Black,Gray,White
Domestic Medium Hair,No,No,No,Healthy,Medium,Large,Female,Cat,Yes,"[24,60]",0,1,2,Black,Golden,Yellow
Domestic Short Hair,Not Sure,No,No,Healthy,Small,Medium,Female,Cat,No,"[3,6]",0,4,4,Black,Yellow,White
Mixed Breed,No,No,No,Healthy,Medium,Small,Female,Dog,No,"[3,6]",0,2,4,Black,Brown,Gray
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,7,2,Black,Brown,
Domestic Long Hair,No,Yes,No,Healthy,Long,Large,Male,Cat,Yes,"[3,6]",0,2,1,Black,Gray,White
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,Yes,"[3,6]",0,1,3,Brown,Golden,Cream
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[3,6]",0,3,3,Yellow,White,
Tortoiseshell,No,Yes,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,5,2,Black,Golden,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Male,Cat,No,"[6,12]",0,2,4,Yellow,White,
Domestic Medium Hair,No,Yes,No,Healthy,Medium,Medium,Female,Cat,Yes,"[6,12]",0,4,2,Gray,,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,No,"[6,12]",0,2,4,Black,Brown,White
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,5,3,Brown,,
Labrador Retriever,No,No,No,Healthy,Small,Large,Female,Dog,Yes,"[0,2]",5,7,3,Black,Golden,Yellow
Domestic Long Hair,No,Not Sure,Not Sure,Healthy,Long,Medium,Female,Cat,Yes,"[12,24]",0,4,1,Gray,White,
Irish Setter,No,Yes,No,Healthy,Long,Medium,Male,Dog,No,"[3,6]",0,4,4,Black,White,
Domestic Medium Hair,No,Yes,Yes,Healthy,Medium,Small,Mixed,Cat,Yes,"[0,2]",0,11,3,Black,Gray,White
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,4,2,Brown,,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",1,5,2,Brown,White,
Tabby,Yes,Yes,Yes,Healthy,Small,Small,Female,Cat,No,"[24,60]",0,1,4,Brown,,
Mixed Breed,No,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,0,Black,Brown,
Tiger,No,No,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,2,2,Black,Cream,White
Labrador Retriever,Yes,Not Sure,Not Sure,Minor Injury,Small,Large,Male,Dog,Yes,"[24,60]",0,2,3,Yellow,,
Domestic Long Hair,No,Yes,No,Healthy,Long,Large,Female,Cat,Yes,"[6,12]",0,2,1,Brown,,
Flat-coated Retriever,No,Yes,Yes,Healthy,Medium,Medium,Mixed,Dog,No,"[6,12]",0,4,4,Black,Golden,Cream
Tortoiseshell,Yes,Yes,Yes,Healthy,Small,Medium,Female,Cat,No,"[3,6]",0,5,4,Brown,Yellow,White
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[3,6]",0,1,2,Black,,
Domestic Short Hair,No,Yes,No,Healthy,Medium,Small,Mixed,Cat,No,"[0,2]",0,5,4,Black,Brown,White
German Shepherd Dog,Yes,Yes,Yes,Healthy,Medium,Large,Female,Dog,Yes,"[24,60]",0,5,1,Black,Brown,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Mixed,Dog,No,"[0,2]",0,5,4,Black,Brown,
Domestic Short Hair,No,No,No,Healthy,Small,Large,Male,Cat,Yes,"[0,2]",0,4,1,Brown,,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,5,1,Black,White,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,No,"[0,2]",0,1,4,Gray,White,
Weimaraner,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,No,"[3,6]",0,1,4,Brown,,
English Springer Spaniel,No,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,4,3,Brown,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,2,1,Brown,,
Poodle,Yes,Yes,Not Sure,Healthy,Medium,Small,Female,Dog,Yes,"[24,60]",0,3,3,Brown,,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,No,"[3,6]",0,3,4,Gray,White,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,3,2,Black,Brown,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,5,3,Brown,White,
Tabby,No,Not Sure,Not Sure,Healthy,Small,Medium,Male,Cat,Yes,"[12,24]",0,1,1,Golden,Yellow,
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Female,Cat,No,"[3,6]",0,3,4,Golden,Cream,
Poodle,Not Sure,Yes,Yes,Healthy,Medium,Small,Male,Dog,Yes,"[3,6]",0,4,2,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,2,1,Black,,
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Mixed,Cat,Yes,"[0,2]",0,3,2,Black,Brown,White
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",0,7,3,Brown,Cream,White
Domestic Medium Hair,No,No,No,Healthy,Medium,Small,Male,Cat,Yes,"[0,2]",0,3,1,Gray,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,2,Brown,White,
Mixed Breed,No,No,No,Minor Injury,Small,Medium,Male,Dog,No,"[24,60]",0,3,4,Black,White,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[3,6]",0,1,2,Gray,White,
Shih Tzu,No,Yes,Yes,Healthy,Long,Small,Male,Dog,Yes,"[24,60]",0,2,1,Brown,Cream,White
Domestic Short Hair,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Mixed,Cat,Yes,"[0,2]",0,5,3,Brown,Gray,White
Domestic Long Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,No,"[3,6]",0,2,4,Black,Brown,
Domestic Short Hair,No,Yes,No,Healthy,Small,Small,Mixed,Cat,Yes,"[3,6]",0,9,2,Brown,Golden,White
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,No,"[0,2]",0,3,4,Black,,
Shar Pei,Yes,Yes,No,Healthy,Small,Large,Male,Dog,Yes,"[3,6]",0,10,3,Cream,White,
Poodle,Yes,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[12,24]",0,0,1,White,,
Mixed Breed,Not Sure,No,No,Healthy,Small,Small,Male,Dog,Yes,"[0,2]",0,4,3,Black,Brown,Golden
Persian,No,Yes,No,Healthy,Medium,Small,Mixed,Cat,Yes,"[0,2]",0,11,3,Yellow,,
Mixed Breed,No,No,No,Healthy,Small,Small,Mixed,Dog,Yes,"[0,2]",0,3,2,Black,Brown,Golden
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,3,3,Cream,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,No,"[3,6]",0,1,4,Black,,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,2,2,Gray,White,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",1,4,2,Brown,Gray,White
Persian,No,Yes,No,Healthy,Long,Large,Male,Cat,Yes,"[3,6]",0,6,3,Gray,White,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Male,Cat,No,"[0,2]",0,3,4,Golden,Yellow,White
Domestic Short Hair,No,No,No,Healthy,Small,Large,Mixed,Cat,Yes,"[3,6]",0,2,1,Golden,Gray,
Mixed Breed,Yes,No,No,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,1,4,Black,,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,5,0,Brown,White,
Domestic Medium Hair,No,Yes,No,Healthy,Medium,Medium,Female,Cat,Yes,"[0,2]",0,5,1,Black,Gray,White
Chow Chow,Yes,Not Sure,Not Sure,Healthy,Long,Small,Male,Dog,Yes,"[12,24]",0,1,1,Brown,Golden,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,11,3,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,No,"[24,60]",0,4,4,Black,,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,3,1,Black,Yellow,
Mixed Breed,No,No,No,Healthy,Small,Small,Female,Dog,Yes,"[0,2]",0,1,2,Brown,,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,No,"[12,24]",0,5,4,Brown,Gray,White
Mixed Breed,No,No,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[24,60]",0,2,3,Black,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Small,Male,Dog,Yes,"[3,6]",0,1,2,Black,White,
Golden Retriever,Yes,Yes,Yes,Healthy,Long,Large,Male,Dog,Yes,"[24,60]",0,2,2,Golden,,
Corgi,No,Yes,Yes,Healthy,Small,Small,Male,Dog,Yes,"[12,24]",0,3,0,Brown,White,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,2,2,Black,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,No,"[24,60]",0,5,4,Brown,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,No,"[6,12]",0,2,4,Black,Brown,
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,No,"[0,2]",0,4,4,Yellow,White,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,No,"[0,2]",0,0,4,Golden,Yellow,Cream
Domestic Medium Hair,No,Yes,No,Healthy,Medium,Small,Female,Cat,Yes,"[0,2]",0,7,3,Brown,Yellow,White
Shih Tzu,No,Yes,Yes,Healthy,Long,Medium,Male,Dog,Yes,"[24,60]",0,1,1,Black,Brown,White
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Mixed,Cat,Yes,"[0,2]",0,10,2,Black,Gray,White
Schnauzer,No,Yes,Yes,Healthy,Small,Small,Male,Dog,Yes,"[3,6]",0,2,2,Gray,,
Labrador Retriever,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Male,Dog,No,"[3,6]",0,0,4,Golden,Cream,White
Mixed Breed,No,Not Sure,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,1,2,Black,Brown,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,1,2,Black,Brown,White
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Male,Cat,No,"[12,24]",0,1,4,White,,
Persian,No,Yes,Yes,Healthy,Long,Medium,Female,Cat,Yes,"[0,2]",2,6,3,Golden,Gray,White
Domestic Short Hair,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Cat,Yes,"[3,6]",1,4,2,Black,,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[24,60]",0,4,4,Golden,,
Mixed Breed,No,Not Sure,Not Sure,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,2,2,Black,White,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,1,2,Brown,,
Mixed Breed,Yes,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,2,2,Brown,,
Golden Retriever,No,Not Sure,Not Sure,Healthy,Medium,Large,Female,Dog,Yes,"[24,60]",0,1,1,Yellow,,
Shiba Inu,Yes,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[24,60]",0,5,3,Black,,
Turkish Van,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,4,3,White,,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,4,2,Black,Brown,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,2,1,White,,
Domestic Medium Hair,Not Sure,Not Sure,Not Sure,Healthy,Medium,Small,Female,Cat,Yes,"[3,6]",0,2,3,Gray,White,
Domestic Short Hair,Not Sure,Not Sure,Not Sure,Healthy,Small,Small,Male,Cat,No,"[3,6]",0,5,4,Black,Brown,
British Shorthair,No,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,3,2,Brown,Yellow,White
Mixed Breed,Yes,Not Sure,No,Healthy,Medium,Medium,Female,Dog,No,"[24,60]",0,5,4,Brown,,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Mixed,Dog,No,"[6,12]",0,2,4,Black,,
Tabby,Yes,Yes,Yes,Healthy,Small,Small,Female,Cat,Yes,"[3,6]",0,4,3,Gray,,
Cocker Spaniel,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,1,2,Black,Brown,
Shih Tzu,Yes,Yes,Yes,Healthy,Medium,Small,Female,Dog,Yes,"[24,60]",0,1,1,Brown,Cream,
Domestic Medium Hair,No,No,No,Healthy,Small,Medium,Female,Cat,No,"[3,6]",0,0,4,Black,Brown,Gray
Terrier,No,No,No,Healthy,Small,Medium,Male,Dog,No,"[12,24]",0,1,4,Brown,White,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,4,2,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,4,1,Black,Brown,
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Mixed,Cat,Yes,"[0,2]",0,11,2,Gray,White,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Medium,Large,Mixed,Cat,Yes,"[24,60]",0,5,2,Black,White,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Large,Male,Dog,Yes,"[0,2]",0,3,2,Black,Brown,
Domestic Short Hair,No,No,No,Minor Injury,Small,Medium,Mixed,Cat,No,"[24,60]",0,2,4,Brown,Gray,White
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[3,6]",0,3,3,Black,Brown,
Domestic Medium Hair,No,Not Sure,Not Sure,Healthy,Medium,Medium,Mixed,Cat,Yes,"[6,12]",0,4,2,Black,White,
German Shepherd Dog,Not Sure,Not Sure,Not Sure,Healthy,Long,Medium,Female,Dog,Yes,"[0,2]",0,5,1,Black,Brown,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,10,2,Cream,White,
Mixed Breed,Not Sure,No,No,Healthy,Small,Medium,Female,Dog,No,"[0,2]",0,5,4,Black,Brown,White
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[3,6]",0,1,3,Black,Yellow,White
Mixed Breed,No,Yes,Not Sure,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,6,1,Black,Brown,White
Domestic Short Hair,No,Yes,No,Minor Injury,Small,Small,Female,Cat,Yes,"[3,6]",0,8,3,Gray,White,
Golden Retriever,No,No,No,Healthy,Long,Medium,Male,Dog,Yes,"[3,6]",0,6,3,Brown,Golden,White
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,1,3,White,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Mixed,Dog,Yes,"[0,2]",0,4,1,Black,Brown,Cream
Persian,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Male,Cat,No,"[12,24]",0,4,4,Golden,White,
Doberman Pinscher,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,6,3,Black,Cream,
German Shepherd Dog,No,No,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,1,2,Black,Brown,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Male,Dog,No,"[0,2]",0,1,4,Black,Brown,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,Yes,"[0,2]",0,3,1,Black,Golden,White
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[6,12]",1,8,4,Brown,,
Rhodesian Ridgeback,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[6,12]",0,6,3,Golden,,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[6,12]",0,5,2,Yellow,White,
English Cocker Spaniel,Not Sure,Not Sure,Not Sure,Healthy,Medium,Small,Female,Dog,Yes,"[12,24]",0,0,3,Golden,,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[3,6]",0,6,1,Black,,
Domestic Short Hair,Yes,No,No,Healthy,Small,Medium,Female,Cat,No,"[12,24]",0,2,4,Black,Golden,White
Husky,Yes,Yes,Yes,Healthy,Medium,Large,Male,Dog,Yes,"[24,60]",0,3,3,Black,Gray,White
Siberian Husky,Not Sure,Yes,Yes,Healthy,Medium,Large,Male,Dog,Yes,"[24,60]",0,2,1,Black,White,
Mixed Breed,Not Sure,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,2,3,Black,Brown,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,10,2,Yellow,White,
Shih Tzu,No,Yes,Yes,Healthy,Small,Small,Male,Dog,No,"[60,255]",0,2,4,Brown,White,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Small,Male,Cat,Yes,"[6,12]",0,9,2,Gray,,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Male,Cat,Yes,"[0,2]",0,5,1,Brown,Golden,White
Pit Bull Terrier,No,No,No,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,3,0,Black,Brown,White
West Highland White Terrier Westie,Yes,Yes,Yes,Healthy,Medium,Small,Female,Dog,Yes,"[60,255]",0,2,2,White,,
Labrador Retriever,No,No,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,10,2,Black,Brown,White
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,0,3,Yellow,,
Mixed Breed,Not Sure,Not Sure,Not Sure,Minor Injury,Small,Medium,Female,Dog,No,"[12,24]",0,3,4,White,,
Mixed Breed,No,No,No,Healthy,Small,Small,Mixed,Dog,No,"[3,6]",0,5,4,Brown,Cream,White
Labrador Retriever,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,2,2,Black,,
Mixed Breed,No,Not Sure,Not Sure,Healthy,Small,Medium,Male,Dog,Yes,"[12,24]",0,3,2,Black,Brown,
Domestic Long Hair,Not Sure,Not Sure,Not Sure,Healthy,Long,Medium,Male,Cat,Yes,"[6,12]",1,11,0,Cream,Gray,White
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,2,0,Brown,Yellow,White
Domestic Short Hair,No,No,No,Healthy,Medium,Small,Male,Cat,Yes,"[0,2]",0,2,2,Brown,White,
Tabby,No,No,No,Healthy,Small,Small,Male,Cat,Yes,"[0,2]",0,4,2,Black,Cream,Gray
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[24,60]",0,3,2,Golden,White,
Domestic Medium Hair,No,Yes,No,Healthy,Small,Small,Female,Cat,Yes,"[0,2]",0,3,1,Black,White,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,1,1,Cream,,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[0,2]",0,3,2,Black,Gray,
Terrier,Not Sure,Not Sure,Not Sure,Healthy,Small,Small,Mixed,Dog,No,"[12,24]",0,10,4,Brown,,
Rottweiler,No,Yes,Yes,Healthy,Small,Large,Male,Dog,Yes,"[0,2]",0,3,1,Black,,
Tabby,Yes,Yes,Yes,Healthy,Medium,Medium,Mixed,Cat,Yes,"[3,6]",0,3,2,Black,Golden,Gray
Domestic Medium Hair,No,No,No,Healthy,Medium,Small,Male,Cat,No,"[3,6]",0,4,4,Golden,Yellow,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,3,2,Black,Brown,White
Labrador Retriever,No,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,2,Black,Yellow,White
Mixed Breed,No,No,No,Healthy,Small,Medium,Mixed,Dog,No,"[0,2]",0,1,4,Black,Brown,
Mixed Breed,No,Not Sure,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,4,2,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,2,2,Brown,White,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,4,3,Black,White,
Domestic Short Hair,No,No,No,Healthy,Small,Large,Male,Cat,Yes,"[12,24]",0,5,3,Brown,White,
Mixed Breed,No,No,No,Healthy,Small,Small,Female,Dog,Yes,"[0,2]",0,5,0,Black,Brown,White
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Small,Mixed,Cat,No,"[3,6]",0,6,4,Gray,,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,4,2,Black,,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,1,2,Brown,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Small,Female,Dog,Yes,"[6,12]",0,1,3,Black,Yellow,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,16,3,Cream,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",1,5,1,Black,Brown,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,4,3,Brown,Yellow,
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Dog,No,"[24,60]",1,12,4,Brown,Golden,White
Domestic Medium Hair,No,Yes,No,Healthy,Medium,Medium,Female,Cat,Yes,"[6,12]",0,6,2,Black,Brown,
Persian,No,Yes,Yes,Healthy,Long,Large,Male,Cat,Yes,"[12,24]",0,3,2,Brown,Cream,
Mixed Breed,No,No,No,Healthy,Small,Medium,Mixed,Dog,No,"[0,2]",0,3,4,Black,Brown,White
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[6,12]",0,5,3,Brown,,
Australian Kelpie,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,4,3,Black,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Male,Dog,No,"[12,24]",0,1,4,Black,Brown,
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,3,Black,Brown,White
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,No,"[3,6]",0,5,4,White,,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,2,3,Black,White,
